city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Vignola,Vignola,44.4667,11,Italy,IT,ITA,Emilia-Romagna,,25814,1380248860
Fürth,Furth,49.4667,11,Germany,DE,DEU,Bavaria,minor,131433,1276580165
Ala,Ala,45.7583,11.0056,Italy,IT,ITA,Trentino-Alto Adige,,8806,1380811104
Helmstedt,Helmstedt,52.2281,11.0106,Germany,DE,DEU,Lower Saxony,minor,25779,1276360393
Spilamberto,Spilamberto,44.5333,11.0167,Italy,IT,ITA,Emilia-Romagna,,12825,1380630753
Grezzana,Grezzana,45.5167,11.0167,Italy,IT,ITA,Veneto,,10722,1380574933
Stein bei Nürnberg,Stein bei Nurnberg,49.4167,11.0167,Germany,DE,DEU,Bavaria,,14556,1276407895
Erlangen,Erlangen,49.5833,11.0167,Germany,DE,DEU,Bavaria,minor,116562,1276339482
Schwabach,Schwabach,49.3292,11.0208,Germany,DE,DEU,Bavaria,minor,41227,1276017987
Erfurt,Erfurt,50.9781,11.0289,Germany,DE,DEU,Thuringia,admin,,1276924655
Savignano sul Panaro,Savignano sul Panaro,44.4833,11.0333,Italy,IT,ITA,Emilia-Romagna,,9563,1380928664
Bomporto,Bomporto,44.7333,11.0333,Italy,IT,ITA,Emilia-Romagna,,10167,1380316410
San Giovanni Lupatoto,San Giovanni Lupatoto,45.3833,11.0333,Italy,IT,ITA,Veneto,,25341,1380942958
Lichtenfels,Lichtenfels,50.1333,11.0333,Germany,DE,DEU,Bavaria,minor,20217,1276573026
Nonantola,Nonantola,44.6781,11.0422,Italy,IT,ITA,Emilia-Romagna,,16106,1380440392
Halberstadt,Halberstadt,51.8958,11.0467,Germany,DE,DEU,Saxony-Anhalt,minor,40457,1276900818
Rovereto,Rovereto,45.8833,11.5,Italy,IT,ITA,Trentino-Alto Adige,,39809,1380311979
Thale,Thale,51.75,11.5,Germany,DE,DEU,Saxony-Anhalt,,16868,1276578169
Castelfranco Emilia,Castelfranco Emilia,44.5967,11.0528,Italy,IT,ITA,Emilia-Romagna,,33054,1380892576
Forchheim,Forchheim,49.7197,11.0581,Germany,DE,DEU,Bavaria,minor,32972,1276030665
Peißenberg,Peissenberg,47.795,11.0603,Germany,DE,DEU,Bavaria,,12781,1276277124
Mirandola,Mirandola,44.8867,11.0667,Italy,IT,ITA,Emilia-Romagna,,24085,1380556207
Telfs,Telfs,47.2833,11.0667,Austria,AT,AUT,Tirol,,16046,1040393855
Rödental,Rodental,50.2833,11.0667,Germany,DE,DEU,Bavaria,,13033,1276302053
Nuremberg,Nuremberg,49.4539,11.0775,Germany,DE,DEU,Bavaria,minor,523026,1276166609
Roth,Roth,49.2461,11.0911,Germany,DE,DEU,Bavaria,,25367,1276856142
San Martino Buon Albergo,San Martino Buon Albergo,45.4167,11.1,Italy,IT,ITA,Veneto,,16233,1380954715
Dießen am Ammersee,Diessen am Ammersee,47.95,11.1,Germany,DE,DEU,Bavaria,,10618,1276330622
Bad Frankenhausen,Bad Frankenhausen,51.3558,11.1011,Germany,DE,DEU,Thuringia,,9995,1276187719
Trento,Trento,46.0667,11.1167,Italy,IT,ITA,Trentino-Alto Adige,admin,118046,1380953307
Lavis,Lavis,46.1333,11.1167,Italy,IT,ITA,Trentino-Alto Adige,,9150,1380719126
Sömmerda,Sommerda,51.1617,11.1169,Germany,DE,DEU,Thuringia,minor,19156,1276806984
Neustadt bei Coburg,Neustadt bei Coburg,50.3289,11.1211,Germany,DE,DEU,Bavaria,,15064,1276116282
San Felice sul Panaro,San Felice sul Panaro,44.8333,11.1333,Italy,IT,ITA,Emilia-Romagna,,10697,1380210816
Bovolone,Bovolone,45.25,11.1333,Italy,IT,ITA,Veneto,,16106,1380019323
Isola della Scala,Isola della Scala,45.2667,11.1333,Italy,IT,ITA,Veneto,,11567,1380191231
Zevio,Zevio,45.3667,11.1333,Italy,IT,ITA,Veneto,,15579,1380762128
Aichach,Aichach,48.45,11.1333,Germany,DE,DEU,Bavaria,minor,21908,1276090074
Quedlinburg,Quedlinburg,51.7917,11.1472,Germany,DE,DEU,Saxony-Anhalt,,23313,1276672547
Wendelstein,Wendelstein,49.3536,11.1483,Germany,DE,DEU,Bavaria,,16089,1276957789
Crevalcore,Crevalcore,44.7167,11.15,Italy,IT,ITA,Emilia-Romagna,,13706,1380853789
Lana,Lana,46.6167,11.15,Italy,IT,ITA,Trentino-Alto Adige,,12477,1380125406
Weilheim,Weilheim,47.8333,11.15,Germany,DE,DEU,Bavaria,minor,23056,1276001381
Heroldsberg,Heroldsberg,49.5333,11.15,Germany,DE,DEU,Bavaria,,8582,1276022666
Neuhaus am Rennweg,Neuhaus am Rennweg,50.5167,11.15,Germany,DE,DEU,Thuringia,,8927,1276404975
Salzwedel,Salzwedel,52.85,11.15,Germany,DE,DEU,Saxony-Anhalt,minor,23543,1276222011
Lüchow,Luchow,52.9667,11.15,Germany,DE,DEU,Lower Saxony,minor,9585,1276197749
Klötze,Klotze,52.6263,11.1616,Germany,DE,DEU,Saxony-Anhalt,,9680,1276729835
Merano,Merano,46.6667,11.1667,Italy,IT,ITA,Trentino-Alto Adige,,41071,1380000095
Sonneberg,Sonneberg,50.35,11.1667,Germany,DE,DEU,Thuringia,minor,23507,1276304773
Grevesmühlen,Grevesmuhlen,53.8667,11.1667,Germany,DE,DEU,Mecklenburg-Western Pomerania,,10538,1276634445
San Giovanni in Persiceto,San Giovanni in Persiceto,44.6333,11.1833,Italy,IT,ITA,Emilia-Romagna,,27720,1380356919
Oppeano,Oppeano,45.3,11.1833,Italy,IT,ITA,Veneto,,10279,1380024530
Herrsching am Ammersee,Herrsching am Ammersee,48,00,11.1833,Germany,DE,DEU,Bavaria,,11088,1276350477
Neuburg,Neuburg,48.7333,11.1833,Germany,DE,DEU,Bavaria,minor,30467,1276560116
Hilpoltstein,Hilpoltstein,49.1833,11.1833,Germany,DE,DEU,Bavaria,,13868,1276036036
Hagenow,Hagenow,53.4167,11.1833,Germany,DE,DEU,Mecklenburg-Western Pomerania,,12399,1276783883
Eichstätt,Eichstatt,48.8919,11.1839,Germany,DE,DEU,Bavaria,minor,13714,1276205721
Anzola dell’Emilia,Anzola dell'Emilia,44.5472,11.56,Italy,IT,ITA,Emilia-Romagna,,12377,1380103166
Monte San Pietro,Monte San Pietro,44.4667,11.2,Italy,IT,ITA,Emilia-Romagna,,10725,1380640178
Murnau am Staffelsee,Murnau am Staffelsee,47.6833,11.2,Germany,DE,DEU,Bavaria,,11969,1276454269
Feucht,Feucht,49.3757,11.213,Germany,DE,DEU,Bavaria,,14169,1276937991
Cerea,Cerea,45.2,11.67,Italy,IT,ITA,Veneto,,16801,1380206980
Zola Predosa,Zola Predosa,44.4883,11.81,Italy,IT,ITA,Emilia-Romagna,,19207,1380463262
Pergine Valsugana,Pergine Valsugana,46.0667,11.33,Italy,IT,ITA,Trentino-Alto Adige,,21572,1380117079
Schwarzenbruck,Schwarzenbruck,49.35,11.33,Germany,DE,DEU,Bavaria,,8600,1276492629
Ballenstedt,Ballenstedt,51.72,11.75,Germany,DE,DEU,Saxony-Anhalt,,8794,1276375352
Barberino di Mugello,Barberino di Mugello,44.0014,11.92,Italy,IT,ITA,Tuscany,,10920,1380222882
Röthenbach an der Pegnitz,Rothenbach an der Pegnitz,49.4847,11.75,Germany,DE,DEU,Bavaria,,12531,1276836579
Sasso Marconi,Sasso Marconi,44.4,11.25,Italy,IT,ITA,Emilia-Romagna,,14747,1380881391
Oschersleben,Oschersleben,52.0167,11.25,Germany,DE,DEU,Saxony-Anhalt,,19704,1276686337
Fürstenfeldbruck,Furstenfeldbruck,48.1778,11.56,Germany,DE,DEU,Bavaria,minor,37695,1276347995
Calderara di Reno,Calderara di Reno,44.5667,11.67,Italy,IT,ITA,Emilia-Romagna,,13502,1380049846
Maisach,Maisach,48.2167,11.67,Germany,DE,DEU,Bavaria,,14199,1276438792
Schrobenhausen,Schrobenhausen,48.5333,11.67,Germany,DE,DEU,Bavaria,,17754,1276307699
Lauf,Lauf,49.5103,11.72,Germany,DE,DEU,Bavaria,minor,26420,1276202337
Tutzing,Tutzing,47.9089,11.14,Germany,DE,DEU,Bavaria,,10106,1276343820
Casalecchio di Reno,Casalecchio di Reno,44.4833,11.33,Italy,IT,ITA,Emilia-Romagna,,35414,1380710953
Cento,Cento,44.7333,11.33,Italy,IT,ITA,Emilia-Romagna,,35231,1380277894
Finale Emilia,Finale Emilia,44.8333,11.33,Italy,IT,ITA,Emilia-Romagna,,14951,1380983848
San Bonifacio,San Bonifacio,45.4,11.33,Italy,IT,ITA,Veneto,,21418,1380614746
Monteforte d’Alpone,Monteforte d'Alpone,45.4167,11.33,Italy,IT,ITA,Veneto,,8932,1380147370
Chiampo,Chiampo,45.55,11.33,Italy,IT,ITA,Veneto,,12531,1380934204
Valdagno,Valdagno,45.65,11.3,Italy,IT,ITA,Veneto,,25601,1380223912
Gilching,Gilching,48.1167,11.3,Germany,DE,DEU,Bavaria,,19247,1276366284
Burgthann,Burgthann,49.35,11.3,Germany,DE,DEU,Bavaria,,11771,1276619152
Sangerhausen,Sangerhausen,51.4667,11.3,Germany,DE,DEU,Saxony-Anhalt,minor,25441,1276588418
Legnago,Legnago,45.1944,11.25,Italy,IT,ITA,Veneto,,25366,1380904282
